Pearson Coefficient;Spearman Coefficient
;0.987378955
0.550352585;0.596982562
0.991259553;0.992132436
0.988608719;0.988292007
0.51405088;0.577228891
0.99189585;0.992472018
0.985613462;0.984627239
0.489895013;0.601889059
0.987013949;0.988291923
0.969204792;0.9717698
0.465124685;0.537844665
0.949828692;0.949127535
0.98448517;0.985440109
0.516102417;0.590683619
0.989729694;0.989863576
0.986265403;0.986048723
0.488029338;0.604818597
0.987864209;0.987374811
0.972089738;0.976859613
0.39214871;0.500281016
0.95440893;0.956900474
0.988742872;0.988185589
0.562888199;0.635906168
0.991820559;0.991421934
0.972097215;0.977342412
0.473233228;0.532232093
0.949269532;0.949345587
0.971365706;0.975848255
0.465192078;0.527325327
0.948090212;0.94870202
